clear,WHEAT,SOY,TREE NUTS,FISH,PEANUTS,SHELLFISH,EGGS,MILK
CHOW MEIN,1,1,0,0,0,0,0,0
CHOW MEIN - KID'S MEAL,1,1,0,0,0,0,0,0
FRIED RICE,1,1,0,0,0,0,1,0
FRIED RICE - KID'S MEAL,1,1,0,0,0,0,0,0
BROWN STEAMED RICE,0,0,0,0,0,0,0,0
BROWN STEAMED RICE - KID'S MEAL,0,0,0,0,0,0,0,0
WHITE STEAMED RICE,0,0,0,0,0,0,0,0
WHITE STEAMED RICE - KID'S MEAL,0,0,0,0,0,0,0,0
SUPER GREENS,1,1,0,0,0,0,0,0
SUPER GREENS - KID'S MEAL,1,1,0,0,0,0,0,0
CHOW FUN,0,0,0,0,1,0,0,0
CHOW FUN - KID'S MEAL,0,0,0,0,1,0,0,0
